stat_id,course_id,instructor_id,gpa,enrollment,withdraw,past_classes
Douglas (HORT) HORT 4205,HORT 4205,Douglas (HORT),3.86,7.4,0.0,5
Douglas (HORT) HORT 4206,HORT 4206,Douglas (HORT),3.97,7.8,0.2,5
Douglas (HORT) HORT 4504,HORT 4504,Douglas (HORT),3.62,8.5,0.0,4
Douglas (HORT) HORT 4545,HORT 4545,Douglas (HORT),3.78,10.0,0.2,5
Douglas (HORT) HORT 4546,HORT 4546,Douglas (HORT),3.55,8.25,0.0,4
Dove (CEE) CEE 3514,CEE 3514,Dove (CEE),2.74,52.27,1.64,11
Dove (CEE) CEE 4544,CEE 4544,Dove (CEE),3.2,15.4,0.0,5
Dove (GEOS) GEOS 3034,GEOS 3034,Dove (GEOS),3.35,66.33,1.67,3
Dowling (ESM) ESM 3054,ESM 3054,Dowling (ESM),3.42,17.5,0.0,2
Dowling (ESM) ESM 4024,ESM 4024,Dowling (ESM),3.0,10.0,0.0,1
Dowling (MSE) MSE 3054,MSE 3054,Dowling (MSE),3.32,48.5,1.0,2
Downey (HIST) HIST 2054,HIST 2054,Downey (HIST),3.22,9.2,0.07,15
Downey (STS) STS 2054,STS 2054,Downey (STS),2.82,6.5,0.0,6
Downs (ART) ART 1004,ART 1004,Downs (ART),3.32,13.67,0.33,3
Doyle (AOE) AOE 4454,AOE 4454,Doyle (AOE),3.33,35.0,0.0,1
Draghi (BIOL) BIOL 2704,BIOL 2704,Draghi (BIOL),3.2,100.25,1.75,4
Draghi (BIOL) BIOL 6014,BIOL 6014,Draghi (BIOL),4.0,7.0,0.0,1
Dragon (ENGL) ENGL 1105,ENGL 1105,Dragon (ENGL),3.54,18.17,0.0,6
Dragon (ENGL) ENGL 1106,ENGL 1106,Dragon (ENGL),3.3,16.0,1.0,2
Dragon (ENGL) ENGL 2744,ENGL 2744,Dragon (ENGL),3.79,17.0,1.0,1
Dragon (ENGL) ENGL 3724,ENGL 3724,Dragon (ENGL),3.79,16.0,0.0,1
Draheim (NR) NR 5424,NR 5424,Draheim (NR),3.95,8.5,0.0,2
Draheim (NR) NR 5434,NR 5434,Draheim (NR),3.79,18.67,0.0,3
Draheim (NR) NR 5724,NR 5724,Draheim (NR),3.85,12.6,0.0,10
Draheim (NR) NR 5884,NR 5884,Draheim (NR),3.95,14.33,0.0,3
Drake (HNFE) HNFE 4004,HNFE 4004,Drake (HNFE),3.72,16.5,0.25,4
Drake-Whitney (SPES) SPES 1004,SPES 1004,Drake-Whitney (SPES),3.34,46.75,0.0,4
Drake-Whitney (SPES) SPES 2984,SPES 2984,Drake-Whitney (SPES),3.95,6.0,0.0,1
Drape (ALCE) ALCE 4984,ALCE 4984,Drape (ALCE),4.0,9.0,0.0,1
Drape (ALCE) ALCE 5104,ALCE 5104,Drape (ALCE),3.93,14.67,0.0,6
Drape (ALCE) ALCE 5114,ALCE 5114,Drape (ALCE),3.74,7.0,0.0,1
Drape (ALCE) ALCE 5204,ALCE 5204,Drape (ALCE),4.0,9.0,0.0,1
Drape (ALCE) ALCE 5814,ALCE 5814,Drape (ALCE),4.0,7.0,0.0,1
Drape (ALCE) ALCE 6804,ALCE 6804,Drape (ALCE),4.0,9.0,0.0,1
Drape (ALCE) ALCE 6984,ALCE 6984,Drape (ALCE),4.0,17.0,0.0,1
Drape (ALS) ALS 5134,ALS 5134,Drape (ALS),3.75,15.5,0.0,6
Drapeau (ENGL) ENGL 1105,ENGL 1105,Drapeau (ENGL),3.3,15.75,0.08,12
Drapeau (ENGL) ENGL 1106,ENGL 1106,Drapeau (ENGL),3.5,17.57,0.78,23
Dreher (ARCH) ARCH 5116,ARCH 5116,Dreher (ARCH),3.76,6.5,0.0,4
Dreher (ARCH) ARCH 5134,ARCH 5134,Dreher (ARCH),3.86,5.0,0.0,1
Dreher (ARCH) ARCH 5706,ARCH 5706,Dreher (ARCH),3.61,19.0,0.0,1
Dresch (ENGL) ENGL 1105,ENGL 1105,Dresch (ENGL),3.04,14.0,0.0,1
Dresch (ENGL) ENGL 1106,ENGL 1106,Dresch (ENGL),3.8,15.5,0.5,2
Driggs (SPAN) SPAN 1105,SPAN 1105,Driggs (SPAN),3.36,20.33,0.0,3
Driggs (SPAN) SPAN 1106,SPAN 1106,Driggs (SPAN),3.22,14.33,0.33,3
Drinkard (AS) AS 2115,AS 2115,Drinkard (AS),3.66,28.4,0.0,5
Drinkard (AS) AS 2116,AS 2116,Drinkard (AS),3.8,25.2,0.0,5
Drinkard (AS) AS 2934,AS 2934,Drinkard (AS),3.88,135.75,0.0,4
Driscoll (EDEL) EDEL 6134,EDEL 6134,Driscoll (EDEL),3.79,14.0,0.0,1
Driscoll (STAT) STAT 4204,STAT 4204,Driscoll (STAT),3.42,45.56,0.0,9
Driscoll (STAT) STAT 4214,STAT 4214,Driscoll (STAT),3.62,38.0,0.5,2
Driscoll (STAT) STAT 5204,STAT 5204,Driscoll (STAT),3.78,8.88,0.0,8
Driscoll (STAT) STAT 5214,STAT 5214,Driscoll (STAT),3.91,10.5,0.0,2
Driscoll (STAT) STAT 5615,STAT 5615,Driscoll (STAT),3.86,208.17,0.0,6
Driscoll (STAT) STAT 5616,STAT 5616,Driscoll (STAT),3.86,133.0,0.0,4
Drum (ART) ART 2704,ART 2704,Drum (ART),3.94,15.0,0.5,2
Drum (ART) ART 3704,ART 3704,Drum (ART),3.97,14.43,0.14,7
Drum (ART) ART 4514,ART 4514,Drum (ART),4.0,5.5,0.0,2
Drum (ART) ART 4544,ART 4544,Drum (ART),3.98,11.38,0.0,8
Drum (ART) ART 4894,ART 4894,Drum (ART),4.0,23.0,0.0,1
Drum (ART) ART 5534,ART 5534,Drum (ART),4.0,11.0,0.0,1
Drum (ART) ART 5704,ART 5704,Drum (ART),4.0,5.0,0.0,1
Druschitz (MSE) MSE 3324,MSE 3324,Druschitz (MSE),3.16,6.0,0.17,6
Druschitz (MSE) MSE 4304,MSE 4304,Druschitz (MSE),3.1,14.17,0.33,6
Druschitz (MSE) MSE 4305,MSE 4305,Druschitz (MSE),2.63,9.0,0.0,1
Druschitz (MSE) MSE 4324,MSE 4324,Druschitz (MSE),3.09,8.0,0.0,1
Druschitz (MSE) MSE 4984,MSE 4984,Druschitz (MSE),3.56,6.0,0.0,2
Druschitz (MSE) MSE 5984,MSE 5984,Druschitz (MSE),3.85,6.0,0.0,1
Du (STAT) STAT 4105,STAT 4105,Du (STAT),2.74,14.0,1.33,3
Du (STAT) STAT 4584,STAT 4584,Du (STAT),3.12,22.5,0.0,4
Du (STAT) STAT 5554,STAT 5554,Du (STAT),3.94,10.0,0.0,1
Du (STAT) STAT 6105,STAT 6105,Du (STAT),3.79,12.33,0.0,3
Du Pon (ACIS) ACIS 3504,ACIS 3504,Du Pon (ACIS),3.21,32.0,0.25,4
Dubinsky (ENGL) ENGL 3104,ENGL 3104,Dubinsky (ENGL),3.46,19.0,1.0,2
Dubinsky (ENGL) ENGL 3774,ENGL 3774,Dubinsky (ENGL),3.43,19.67,0.5,6
Dubinsky (ENGL) ENGL 4804,ENGL 4804,Dubinsky (ENGL),3.4,17.33,0.0,3
Dubinsky (ENGL) ENGL 4824,ENGL 4824,Dubinsky (ENGL),3.38,13.0,0.0,1
Dubinsky (ENGL) ENGL 4874,ENGL 4874,Dubinsky (ENGL),3.59,12.5,0.0,4
Dubinsky (ENGL) ENGL 5334,ENGL 5334,Dubinsky (ENGL),3.81,7.0,0.0,1
Dubinsky (ENGL) ENGL 6374,ENGL 6374,Dubinsky (ENGL),4.0,7.0,0.0,1
Dubinsky (ENGL) ENGL 6514,ENGL 6514,Dubinsky (ENGL),3.86,5.0,0.0,1
Ducker (CHE) CHE 2164,CHE 2164,Ducker (CHE),2.74,25.0,0.67,3
Ducker (CHE) CHE 3044,CHE 3044,Ducker (CHE),3.18,82.75,0.25,4
Ducker (CHE) CHE 4994,CHE 4994,Ducker (CHE),3.99,31.0,0.0,1
Ducker (CHE) CHE 5334,CHE 5334,Ducker (CHE),3.53,10.0,0.0,2
Duer (ART) ART 1114,ART 1114,Duer (ART),3.82,22.0,0.0,1
Duer (ART) ART 2604,ART 2604,Duer (ART),3.83,19.0,0.0,1
Duer (ART) ART 3114,ART 3114,Duer (ART),3.32,16.75,0.5,4
Duer (ART) ART 3504,ART 3504,Duer (ART),3.69,13.67,0.0,6
Duer (ART) ART 3704,ART 3704,Duer (ART),3.14,7.0,0.0,1
Duer (ART) ART 4504,ART 4504,Duer (ART),4.0,8.5,0.0,2
Duer (ART) ART 4514,ART 4514,Duer (ART),3.94,10.5,0.0,2
Duer (ART) ART 4894,ART 4894,Duer (ART),3.82,16.5,0.0,2
Duer (ART) ART 5524,ART 5524,Duer (ART),4.0,6.0,0.0,1
Duer (ART) ART 5534,ART 5534,Duer (ART),4.0,8.0,0.0,1
Duer (ART) ART 5604,ART 5604,Duer (ART),4.0,7.5,0.0,2
Duer (UH) UH 3504,UH 3504,Duer (UH),3.9,6.0,1.0,1
Duer (UH) UH 4984,UH 4984,Duer (UH),3.9,16.0,3.0,1
Duerksen (CSES) CSES 2244,CSES 2244,Duerksen (CSES),2.91,27.0,5.0,1
Duetsch (HTM) HTM 1414,HTM 1414,Duetsch (HTM),3.54,49.5,0.88,8
Duetsch (HTM) HTM 3044,HTM 3044,Duetsch (HTM),3.55,15.0,0.0,3
Duetsch (HTM) HTM 3444,HTM 3444,Duetsch (HTM),3.26,22.11,0.11,9
Duetsch (HTM) HTM 4414,HTM 4414,Duetsch (HTM),3.97,12.0,0.0,1
Duetsch (HTM) HTM 4514,HTM 4514,Duetsch (HTM),4.0,6.0,0.0,1
Duetsch (HTM) HTM 4964,HTM 4964,Duetsch (HTM),3.62,5.0,0.0,1
Dufault (MS) MS 2005,MS 2005,Dufault (MS),3.72,31.25,0.12,8
Dufault (MS) MS 2006,MS 2006,Dufault (MS),3.86,32.5,0.0,4
Duffield (ART) ART 1604,ART 1604,Duffield (ART),3.62,15.3,0.2,10
Duffield (ART) ART 2604,ART 2604,Duffield (ART),3.79,18.67,0.33,3
Duffield (ART) ART 2704,ART 2704,Duffield (ART),3.65,16.86,0.14,7
Duffield (ART) ART 3114,ART 3114,Duffield (ART),3.98,18.0,1.0,1
Duffield (ART) ART 3604,ART 3604,Duffield (ART),3.95,13.0,0.0,1
Duffield (ART) ART 3704,ART 3704,Duffield (ART),3.36,14.0,0.0,1
Duffield (ART) ART 3854,ART 3854,Duffield (ART),3.49,16.0,0.0,1
Duffield (ART) ART 4894,ART 4894,Duffield (ART),3.67,20.0,0.0,1
Dufour (HIST) HIST 3714,HIST 3714,Dufour (HIST),3.66,66.0,0.0,3
Dufour (HIST) HIST 3724,HIST 3724,Dufour (HIST),3.78,41.5,0.0,4
Dufour (HIST) HIST 3914,HIST 3914,Dufour (HIST),3.6,25.0,0.0,1
Dufour (HIST) HIST 4914,HIST 4914,Dufour (HIST),3.34,12.0,0.0,2
Dufour (HIST) HIST 5154,HIST 5154,Dufour (HIST),4.0,8.0,0.0,5
Dufour (HIST) HIST 5414,HIST 5414,Dufour (HIST),4.0,11.0,0.0,1
Dugas (ARCH) ARCH 3015,ARCH 3015,Dugas (ARCH),3.5,19.0,0.0,4
Dugas (ARCH) ARCH 3016,ARCH 3016,Dugas (ARCH),3.53,18.33,0.33,3
Dugas (ARCH) ARCH 3054,ARCH 3054,Dugas (ARCH),3.94,18.67,0.0,3
Dugas (ARCH) ARCH 3514,ARCH 3514,Dugas (ARCH),3.97,11.0,0.0,1
Dugas (ARCH) ARCH 4044,ARCH 4044,Dugas (ARCH),3.92,22.6,0.0,5
Dugas (ARCH) ARCH 4514,ARCH 4514,Dugas (ARCH),3.78,5.5,0.0,2
Dugas (ARCH) ARCH 4515,ARCH 4515,Dugas (ARCH),3.8,5.5,0.0,2
Dugas (ARCH) ARCH 4516,ARCH 4516,Dugas (ARCH),3.9,10.0,0.0,1
Dugas (ARCH) ARCH 4524,ARCH 4524,Dugas (ARCH),3.46,5.0,0.0,1
Dugas (ARCH) ARCH 5044,ARCH 5044,Dugas (ARCH),3.9,13.0,0.0,5
Dugas (ARCH) ARCH 5516,ARCH 5516,Dugas (ARCH),4.0,8.0,0.0,1
Dugas (ARCH) ARCH 5715,ARCH 5715,Dugas (ARCH),3.83,11.0,0.0,1
Dugas (IDS) IDS 3234,IDS 3234,Dugas (IDS),3.56,11.0,0.0,1
Duggal (BMVS) BMVS 5624,BMVS 5624,Duggal (BMVS),3.74,8.5,0.0,2
Dulin (CEE) CEE 5884,CEE 5884,Dulin (CEE),3.98,19.8,0.0,5
Dull (PAPA) PAPA 5014,PAPA 5014,Dull (PAPA),3.91,10.0,0.0,2
Dull (PAPA) PAPA 6224,PAPA 6224,Dull (PAPA),3.93,7.5,0.0,4
Dull (PAPA) PAPA 6254,PAPA 6254,Dull (PAPA),3.91,7.0,0.0,2
Dull (PAPA) PAPA 6514,PAPA 6514,Dull (PAPA),3.59,8.0,0.0,1
Dull (PSCI) PSCI 3744,PSCI 3744,Dull (PSCI),3.68,8.0,0.0,1
Dull (UAP) UAP 3744,UAP 3744,Dull (UAP),3.67,35.0,1.0,1
Duma (BMES) BMES 2004,BMES 2004,Duma (BMES),3.91,484.2,0.4,5
Duma (BMSP) BMSP 2146,BMSP 2146,Duma (BMSP),3.89,60.0,0.0,1
Duma (ENT) ENT 4994,ENT 4994,Duma (ENT),3.91,5.0,0.0,1
Duma (HNFE) HNFE 4994,HNFE 4994,Duma (HNFE),4.0,5.0,0.0,1
Dunay (ARCH) ARCH 1015,ARCH 1015,Dunay (ARCH),3.48,19.6,0.0,10
Dunay (ARCH) ARCH 1016,ARCH 1016,Dunay (ARCH),3.68,18.0,0.5,10
Dunay (ARCH) ARCH 4014,ARCH 4014,Dunay (ARCH),3.81,12.0,0.0,2
Dunay (ARCH) ARCH 4015,ARCH 4015,Dunay (ARCH),3.87,9.0,0.0,1
Dunay (ARCH) ARCH 4034,ARCH 4034,Dunay (ARCH),3.81,44.0,1.0,1
Dunay (ARCH) ARCH 4214,ARCH 4214,Dunay (ARCH),3.91,7.0,0.0,1
Dunay (ARCH) ARCH 4974,ARCH 4974,Dunay (ARCH),3.96,11.0,0.5,2
Dunay (ARCH) ARCH 4984,ARCH 4984,Dunay (ARCH),3.81,10.0,0.0,1
Dunay (ARCH) ARCH 5125,ARCH 5125,Dunay (ARCH),3.75,12.0,0.0,1
Dunay (ARCH) ARCH 5134,ARCH 5134,Dunay (ARCH),3.91,7.67,0.0,3
Duncan (APSC) APSC 1464,APSC 1464,Duncan (APSC),3.42,23.17,0.17,6
Duncan (APSC) APSC 1984,APSC 1984,Duncan (APSC),3.45,19.0,0.5,2
Duncan (APSC) APSC 3824,APSC 3824,Duncan (APSC),3.82,6.75,0.0,4
Duncan (APSC) APSC 3984,APSC 3984,Duncan (APSC),3.66,5.0,0.0,1
Duncan (CMST) CMST 5814,CMST 5814,Duncan (CMST),4.0,7.0,0.0,1
Duncan (COMM) COMM 2124,COMM 2124,Duncan (COMM),3.4,43.4,0.0,5
Duncan (COMM) COMM 3154,COMM 3154,Duncan (COMM),3.2,9.0,0.5,2
Duncan (COMM) COMM 4014,COMM 4014,Duncan (COMM),3.08,47.0,0.0,2
Duncan (COMM) COMM 5014,COMM 5014,Duncan (COMM),3.97,14.0,0.0,2
Duncan (GEOS) GEOS 2104,GEOS 2104,Duncan (GEOS),3.38,18.96,0.07,27
Duncan (GEOS) GEOS 5704,GEOS 5704,Duncan (GEOS),3.88,5.0,0.0,1
Duncan (GEOS) GEOS 6704,GEOS 6704,Duncan (GEOS),3.85,6.0,0.0,1
Duncan (JMC) JMC 3154,JMC 3154,Duncan (JMC),3.72,18.0,0.33,3
Duncan (JMC) JMC 4064,JMC 4064,Duncan (JMC),3.4,39.4,0.4,5
Duncan (JMC) JMC 4254,JMC 4254,Duncan (JMC),3.77,26.0,1.0,1
Duncan Lane (HD) HD 1004,HD 1004,Duncan Lane (HD),3.78,75.71,0.71,7
Duncan Lane (HD) HD 1134,HD 1134,Duncan Lane (HD),3.91,79.67,0.33,6
Duncan Lane (HD) HD 1984,HD 1984,Duncan Lane (HD),3.79,42.0,0.0,1
Duncan Lane (HD) HD 2014,HD 2014,Duncan Lane (HD),3.72,46.0,0.0,3
Duncan Lane (HD) HD 2336,HD 2336,Duncan Lane (HD),3.84,47.0,0.0,1
Duncan Lane (HD) HD 3224,HD 3224,Duncan Lane (HD),3.94,50.0,0.0,1
Duncan Lane (HD) HD 3234,HD 3234,Duncan Lane (HD),3.91,58.5,0.0,2
Duncan Lane (HD) HD 4324,HD 4324,Duncan Lane (HD),3.96,50.0,1.0,1
Duncan Lane (HD) HD 4334,HD 4334,Duncan Lane (HD),3.84,28.0,0.0,1
Duncan Lane (HNFE) HNFE 4974,HNFE 4974,Duncan Lane (HNFE),4.0,25.0,0.0,1
Dunlap (CS) CS 3604,CS 3604,Dunlap (CS),3.8,77.62,0.38,26
Dunlap (CS) CS 4984,CS 4984,Dunlap (CS),3.88,20.0,0.0,1
Dunlap (RUS) RUS 1105,RUS 1105,Dunlap (RUS),2.94,11.5,1.5,2
Dunlap (RUS) RUS 1106,RUS 1106,Dunlap (RUS),3.33,7.0,0.0,1
Dunn (HNFE) HNFE 4754,HNFE 4754,Dunn (HNFE),3.97,22.4,0.0,5
Dunn (HNFE) HNFE 4974,HNFE 4974,Dunn (HNFE),4.0,17.0,0.0,1
Dunn (HNFE) HNFE 4994,HNFE 4994,Dunn (HNFE),4.0,7.0,0.0,1
Dunning (ECE) ECE 1004,ECE 1004,Dunning (ECE),2.93,87.17,7.5,6
Dunning (ECE) ECE 2514,ECE 2514,Dunning (ECE),3.48,92.5,0.5,2
Dunning (ECE) ECE 2544,ECE 2544,Dunning (ECE),2.76,44.0,0.0,1
Dunsmore (PSYC) PSYC 2034,PSYC 2034,Dunsmore (PSYC),3.43,24.0,1.0,1
Dunsmore (PSYC) PSYC 6944,PSYC 6944,Dunsmore (PSYC),4.0,5.0,0.0,1
Dunston (MUS) MUS 2055,MUS 2055,Dunston (MUS),3.17,23.0,3.0,1
Dunston (MUS) MUS 2056,MUS 2056,Dunston (MUS),3.48,17.0,0.0,1
Dunston (MUS) MUS 2754,MUS 2754,Dunston (MUS),3.33,6.8,0.0,5
Dunston (MUS) MUS 3055,MUS 3055,Dunston (MUS),3.19,11.17,0.33,6
Dunston (MUS) MUS 3056,MUS 3056,Dunston (MUS),3.32,10.4,0.2,5
Dunston (MUS) MUS 4055,MUS 4055,Dunston (MUS),3.24,5.5,0.0,2
Dunston (MUS) MUS 4056,MUS 4056,Dunston (MUS),3.93,6.0,0.0,3
Dunston (MUS) MUS 4754,MUS 4754,Dunston (MUS),3.73,7.25,0.0,4
Dupuy (GIA) GIA 5484,GIA 5484,Dupuy (GIA),3.45,11.0,0.0,1
Dupuy (IS) IS 3734,IS 3734,Dupuy (IS),3.56,21.0,0.0,2
Dupuy (PSCI) PSCI 3734,PSCI 3734,Dupuy (PSCI),3.52,11.0,0.0,2
Dupuy (PSCI) PSCI 5444,PSCI 5444,Dupuy (PSCI),3.69,15.0,0.0,1
Dupuy (PSCI) PSCI 5484,PSCI 5484,Dupuy (PSCI),3.5,6.0,0.0,1
Dupuy (PSCI) PSCI 5524,PSCI 5524,Dupuy (PSCI),3.37,7.0,0.0,1
Dura (GEOS) GEOS 2444,GEOS 2444,Dura (GEOS),3.57,27.33,0.0,3
Dura (GEOS) GEOS 4314,GEOS 4314,Dura (GEOS),3.41,7.0,0.0,3
Dura (GEOS) GEOS 4984,GEOS 4984,Dura (GEOS),3.54,13.0,0.0,1
Dura (GEOS) GEOS 5314,GEOS 5314,Dura (GEOS),4.0,6.67,0.0,3
Dura (GEOS) GEOS 5984,GEOS 5984,Dura (GEOS),3.96,7.0,0.0,1
Duraj-Thatte (BSE) BSE 2004,BSE 2004,Duraj-Thatte (BSE),3.38,21.5,0.0,2
Duraj-Thatte (BSE) BSE 4994,BSE 4994,Duraj-Thatte (BSE),4.0,5.0,0.0,1
Durrill (CHE) CHE 2114,CHE 2114,Durrill (CHE),2.89,48.5,4.5,2
Dutrow (HD) HD 5964,HD 5964,Dutrow (HD),3.2,6.0,0.0,2
Dwibedi (ECON) ECON 2005,ECON 2005,Dwibedi (ECON),3.17,50.0,0.0,1
Dye (CINE) CINE 2064,CINE 2064,Dye (CINE),3.71,13.14,0.0,7
Dye (CINE) CINE 3184,CINE 3184,Dye (CINE),3.77,12.33,0.0,3
Dye (CINE) CINE 3214,CINE 3214,Dye (CINE),3.9,15.0,0.0,4
Dye (CINE) CINE 3224,CINE 3224,Dye (CINE),3.87,13.83,0.33,6
Dye (TA) TA 3014,TA 3014,Dye (TA),3.87,11.3,0.2,10
Dymond (CEE) CEE 4264,CEE 4264,Dymond (CEE),3.2,50.5,0.0,2
Dymond (CEE) CEE 4274,CEE 4274,Dymond (CEE),3.59,19.0,0.0,1
Dymond (CEE) CEE 4304,CEE 4304,Dymond (CEE),3.04,35.5,0.0,2
Dymond (CEE) CEE 5334,CEE 5334,Dymond (CEE),3.5,9.0,0.0,2
Dymond (CEE) CEE 5734,CEE 5734,Dymond (CEE),3.82,15.0,0.0,1
Ealy (ALS) ALS 3314,ALS 3314,Ealy (ALS),4.0,14.0,0.0,1
Ealy (APSC) APSC 4004,APSC 4004,Ealy (APSC),4.0,15.0,0.0,1
Ealy (APSC) APSC 4304,APSC 4304,Ealy (APSC),3.94,12.25,0.0,4
Ealy (APSC) APSC 4984,APSC 4984,Ealy (APSC),3.87,28.0,0.0,1
Ealy (APSC) APSC 5404,APSC 5404,Ealy (APSC),3.84,14.8,0.2,5
Ealy (APSC) APSC 5444,APSC 5444,Ealy (APSC),4.0,9.0,0.0,2
Ealy (APSC) APSC 5984,APSC 5984,Ealy (APSC),4.0,13.0,0.0,1
Ealy (DASC) DASC 4304,DASC 4304,Ealy (DASC),3.92,10.33,0.0,3
Ealy (DASC) DASC 4964,DASC 4964,Ealy (DASC),4.0,8.0,0.0,1
Earle (ECE) ECE 3054,ECE 3054,Earle (ECE),2.41,102.0,8.0,1
Earle (ECE) ECE 3104,ECE 3104,Earle (ECE),3.1,10.0,0.0,2
Earle (ECE) ECE 3154,ECE 3154,Earle (ECE),3.57,5.67,0.0,3
Earle (HIST) HIST 2054,HIST 2054,Earle (HIST),3.86,7.5,0.5,2
Earle (STS) STS 1504,STS 1504,Earle (STS),3.47,22.0,0.0,1
Earle (STS) STS 2054,STS 2054,Earle (STS),3.78,17.0,0.0,2
Earle (STS) STS 3105,STS 3105,Earle (STS),3.5,16.0,1.0,1
Earnest (ISE) ISE 2004,ISE 2004,Earnest (ISE),3.58,86.0,0.0,2
Easter (MUS) MUS 1005,MUS 1005,Easter (MUS),3.65,139.0,2.67,3
Easter (MUS) MUS 1006,MUS 1006,Easter (MUS),3.89,23.0,0.0,1
Easter (MUS) MUS 1104,MUS 1104,Easter (MUS),3.62,83.25,0.75,4
Easter (MUS) MUS 2025,MUS 2025,Easter (MUS),3.32,29.0,0.0,1
Easter (MUS) MUS 2026,MUS 2026,Easter (MUS),3.45,26.0,0.0,1
Easter (MUS) MUS 2115,MUS 2115,Easter (MUS),3.64,118.0,0.0,1
Easter (MUS) MUS 2116,MUS 2116,Easter (MUS),3.92,118.0,3.0,1
Easter (MUS) MUS 2254,MUS 2254,Easter (MUS),3.43,7.0,0.0,1
Easter (MUS) MUS 2634,MUS 2634,Easter (MUS),3.27,5.0,0.0,2
Easter (MUS) MUS 3314,MUS 3314,Easter (MUS),4.0,12.0,0.25,4
Easterwood (ACIS) ACIS 2504,ACIS 2504,Easterwood (ACIS),2.82,134.27,6.36,22
Easterwood (ACIS) ACIS 5144,ACIS 5144,Easterwood (ACIS),3.78,11.33,0.0,3
Easterwood (ACIS) ACIS 5604,ACIS 5604,Easterwood (ACIS),3.87,20.67,0.0,3
Easterwood (FIN) FIN 3104,FIN 3104,Easterwood (FIN),3.06,55.5,4.5,2
Easterwood (FIN) FIN 3134,FIN 3134,Easterwood (FIN),2.62,34.17,4.0,6
Easterwood (FIN) FIN 3154,FIN 3154,Easterwood (FIN),2.99,27.18,0.82,11
Easterwood (FIN) FIN 5654,FIN 5654,Easterwood (FIN),3.92,8.0,0.0,1
Easton (BSE) BSE 4304,BSE 4304,Easton (BSE),3.69,11.33,0.0,3
Easton (BSE) BSE 5304,BSE 5304,Easton (BSE),3.96,8.25,0.0,4
Easton (BSE) BSE 5354,BSE 5354,Easton (BSE),3.86,5.0,0.0,1
Eastwood (BIOL) BIOL 3264,BIOL 3264,Eastwood (BIOL),3.78,17.67,0.0,12
Eastwood (ENT) ENT 4994,ENT 4994,Eastwood (ENT),3.91,5.0,0.0,1
Eastwood (ENT) ENT 6004,ENT 6004,Eastwood (ENT),4.0,6.0,0.0,2
Eatherton (CEE) CEE 3434,CEE 3434,Eatherton (CEE),3.16,29.67,0.33,6
Eatherton (CEE) CEE 4994,CEE 4994,Eatherton (CEE),4.0,7.0,0.0,1
Eatherton (CEE) CEE 5430,CEE 5430,Eatherton (CEE),3.41,27.67,0.0,3
Eatherton (CEE) CEE 5470,CEE 5470,Eatherton (CEE),3.63,18.5,0.0,6
Eatherton (CEE) CEE 5744,CEE 5744,Eatherton (CEE),3.7,24.0,0.0,1
Eatherton (CEE) CEE 6434,CEE 6434,Eatherton (CEE),3.9,6.0,0.0,1
Eaton (HNFE) HNFE 1114,HNFE 1114,Eaton (HNFE),3.81,43.67,0.07,27
Eaton (HNFE) HNFE 2204,HNFE 2204,Eaton (HNFE),3.94,383.33,0.33,6
Eaton (HNFE) HNFE 4974,HNFE 4974,Eaton (HNFE),3.99,21.7,0.1,10
Eaton (HNFE) HNFE 4994,HNFE 4994,Eaton (HNFE),4.0,9.75,0.0,4
Eaton (PSYC) PSYC 4994,PSYC 4994,Eaton (PSYC),3.97,13.0,0.0,2
Economou (PHYS) PHYS 2254,PHYS 2254,Economou (PHYS),3.6,23.0,2.0,1
Economou (PHYS) PHYS 4254,PHYS 4254,Economou (PHYS),3.36,10.8,0.6,5
Economou (PHYS) PHYS 5254,PHYS 5254,Economou (PHYS),3.62,9.5,0.0,2
Economou (PHYS) PHYS 5264,PHYS 5264,Economou (PHYS),3.71,14.0,0.0,1
Economou (PHYS) PHYS 5984,PHYS 5984,Economou (PHYS),4.0,6.0,0.0,1
Eddleton (CHEM) CHEM 1004,CHEM 1004,Eddleton (CHEM),3.46,63.0,0.88,8
Eddleton (CHEM) CHEM 1015,CHEM 1015,Eddleton (CHEM),3.81,249.5,2.17,6
Eddleton (CHEM) CHEM 1016,CHEM 1016,Eddleton (CHEM),3.78,256.8,2.8,5
Eddleton (CHEM) CHEM 1025,CHEM 1025,Eddleton (CHEM),3.59,31.33,0.33,6
Eddleton (CHEM) CHEM 1026,CHEM 1026,Eddleton (CHEM),3.71,34.2,0.2,5
Eddleton (CHEM) CHEM 1035,CHEM 1035,Eddleton (CHEM),2.35,49.95,7.31,39
Eddy (ART) ART 1004,ART 1004,Eddy (ART),3.76,14.0,0.0,2
Edelen (FIN) FIN 3144,FIN 3144,Edelen (FIN),2.9,29.4,0.6,5
Edelen (FIN) FIN 4244,FIN 4244,Edelen (FIN),3.07,23.0,0.12,8
Edgar (CHEM) CHEM 4424,CHEM 4424,Edgar (CHEM),3.22,12.33,0.33,3
Edgar (CHEM) CHEM 5424,CHEM 5424,Edgar (CHEM),3.74,7.0,0.0,3
Edgar (GRAD) GRAD 5214,GRAD 5214,Edgar (GRAD),4.0,18.0,0.0,1
Edgar (SBIO) SBIO 4424,SBIO 4424,Edgar (SBIO),2.4,5.0,0.0,1
Edge (ARCH) ARCH 4715,ARCH 4715,Edge (ARCH),3.49,11.0,0.0,1
