stat_id,course_id,instructor_id,gpa,enrollment,withdraw,past_classes
Abrahams (BIT) BIT 5644,BIT 5644,Abrahams (BIT),3.9,15.75,0.0,4
Abrahams (HIST) HIST 2054,HIST 2054,Abrahams (HIST),3.42,22.0,0.0,1
Abrahams (HIST) HIST 3724,HIST 3724,Abrahams (HIST),3.91,30.0,0.0,1
Acar (ME) ME 3614,ME 3614,Acar (ME),3.56,68.5,0.5,2
Acar (ME) ME 3624,ME 3624,Acar (ME),3.2,56.33,0.0,3
Acar (ME) ME 4654,ME 4654,Acar (ME),3.28,6.0,0.0,1
Acar (ME) ME 4994,ME 4994,Acar (ME),4.0,9.0,0.0,1
Acar (ME) ME 5794,ME 5794,Acar (ME),3.89,22.0,0.0,4
Acar (ME) ME 5984,ME 5984,Acar (ME),3.88,5.0,0.0,1
Achenie (BMES) BMES 5044,BMES 5044,Achenie (BMES),3.05,12.5,0.0,2
Achenie (BSE) BSE 5044,BSE 5044,Achenie (BSE),3.12,6.0,0.0,2
Achenie (CHE) CHE 3124,CHE 3124,Achenie (CHE),3.17,32.0,0.0,3
Achenie (CHE) CHE 4134,CHE 4134,Achenie (CHE),2.89,76.0,0.0,1
Achenie (CHE) CHE 4974,CHE 4974,Achenie (CHE),4.0,15.0,0.0,1
Achenie (CHE) CHE 4994,CHE 4994,Achenie (CHE),3.9,22.0,0.0,1
Achenie (CHE) CHE 5044,CHE 5044,Achenie (CHE),3.51,11.0,0.0,3
Acimovic (HORT) HORT 4654,HORT 4654,Acimovic (HORT),2.8,37.0,3.0,1
Acito (ACIS) ACIS 5194,ACIS 5194,Acito (ACIS),3.68,18.2,0.0,15
Adams (AAEC) AAEC 3015,AAEC 3015,Adams (AAEC),3.76,27.75,0.12,8
Adams (AOE) AOE 3014,AOE 3014,Adams (AOE),3.17,79.0,1.0,1
Adams (AOE) AOE 4994,AOE 4994,Adams (AOE),4.0,5.0,0.0,1
Adams (AOE) AOE 5114,AOE 5114,Adams (AOE),3.29,13.0,0.0,9
Adams (AOE) AOE 5174,AOE 5174,Adams (AOE),3.44,9.29,0.0,7
Adams (AS) AS 1115,AS 1115,Adams (AS),3.76,22.0,0.0,8
Adams (AS) AS 1116,AS 1116,Adams (AS),3.92,18.62,0.0,8
