crn,dept,course_id,instructor_id,title,modality,credits,capacity,days,start_time,end_time,location
19345,PPWS,PPWS 2004,Schmale (PPWS),Mysterious Mushrooms & Molds,F2F,3,100,M W F,1:25PM,2:15PM,NCB 320
21308,PPWS,PPWS 2104,Jelesko (PPWS),"Plants, Genes, and People",OnlineAsync,3,50,(ARR),(ARR),(ARR),00X
21291,PPWS,PPWS 4104,Rideout (PPWS),Plant Pathology,F2F,4,35,T R,11:00AM,12:15PM,NCB 270
21292,PPWS,PPWS 4104,Rideout (PPWS),Plant Pathology,F2F,4,35,T R,11:00AM,12:15PM,NCB 270
19346,PPWS,PPWS 5054,Wang (PPWS),Plant Pathogenic Agents,F2F,3,12,M W F,9:05AM,9:55AM,SAUND 301A
19347,PPWS,PPWS 5204,Rideout (PPWS),Plant Disease Mgt,OnlineAsync,3,25,(ARR),(ARR),(ARR),00X
21310,PPWS,PPWS 5234,Jelesko (PPWS),Applied Stats Plant Envir Sci,F2F,3,15,F,1:30PM,4:30PM,TBA
21213,PPWS,PPWS 5344,Pilot (PPWS),Molec Biol Life Sci,F2F,3,20,M W F,9:05AM,9:55AM,FRALN 002
19350,PPWS,PPWS 5894,Beers (PPWS),Final Exam (Non Thesis),F2F,3,0,(ARR),(ARR),(ARR),00X
19357,PR,PR 2044,Deuyour (PR),Principles of Public Relations,Hybrid,3,40,M W F,12:20PM,1:10PM,MCB 232
19359,PR,PR 3014,Logan (PR),Public Relations Cases,F2F,3,79,M W,2:30PM,3:45PM,MCB 113
19360,PR,PR 3144,Van Dyke (PR),Writing and Editing for PR,F2F,3,19,M W,5:30PM,6:45PM,SHANK 180
19361,PR,PR 3144,Jefferies (PR),Writing and Editing for PR,F2F,3,19,T R,3:30PM,4:45PM,SHANK 180
21147,PR,PR 3324,Logan (PR),Corporate Communication,F2F,3,45,M W,4:00PM,5:15PM,MCB 321
19362,PR,PR 4304,Woods (PR),Public Relations Campaigns,F2F,3,20,M W,4:00PM,5:15PM,MCB 219
19363,PR,PR 4304,Watkins (PR),Public Relations Campaigns,F2F,3,24,T R,12:30PM,1:45PM,MCB 219
19364,PR,PR 4404,Myers (PR),Strategic Comm Capstone,F2F,3,75,T R,5:00PM,6:15PM,SURGE 104C
19365,PR,PR 4414,Smith (PR),PR Standards and Practices,F2F,3,75,M W,2:30PM,3:45PM,TORG 1060
