dept_id,gpa,past_classes,unique_classes,new_classes,title
TBMH,3.76,54,14,9,"Translational Biology, Medicine and Health"
UAP,3.77,356,54,31,Urban Affairs and Planning
UH,3.89,191,28,48,University Honors
UNIV,3.5,110,4,4,University Course Series
VM,3.86,4,4,44,Veterinary Medicine
WATR,3.32,15,5,6,Water
WGS,3.61,135,20,18,Women's and Gender Studies
AIS,0.0,0,0,1,Academy of Integrated Science
BUS,0.0,0,0,2,Business
EDTE,0.0,0,0,2,Technology Education
PORT,0.0,0,0,0,Portuguese
