instructor_id,last_name,dept,gpa,enrollment,withdraw,past_classes,new_classes
Evia Puerto (ENGL),Evia Puerto,ENGL,3.45,18.0,0.0,1,0
Ewing (ENGL),Ewing,ENGL,3.48,13.5,0.5,2,0
Ewing (HIST),Ewing,HIST,3.85,19.5,0.2,10,1
Ewing (SOC),Ewing,SOC,3.74,8.0,0.0,2,0
Ewing (STS),Ewing,STS,3.4,52.0,0.0,1,0
Ezban (LAR),Ezban,LAR,3.73,8.5,0.0,2,0
Fabrey (LAHS),Fabrey,LAHS,2.66,16.0,0.0,1,0
Fahmi (AOE),Fahmi,AOE,2.7,33.0,0.0,1,0
Faircloth (SOC),Faircloth,SOC,3.93,46.0,0.0,1,0
Fakron (MATH),Fakron,MATH,2.59,24.87,2.73,15,0
Fakron (PHYS),Fakron,PHYS,3.41,94.0,1.0,1,0
Falco (ENGL),Falco,ENGL,3.84,14.06,0.0,16,2
Falco (TA),Falco,TA,3.73,6.75,0.0,4,0
Falkinham (BIOL),Falkinham,BIOL,2.7,265.0,2.0,1,0
Fallon (PHIL),Fallon,PHIL,3.64,26.17,0.17,6,0
Fallon (PSCI),Fallon,PSCI,3.64,38.5,0.5,2,0
Faltin (AAEC),Faltin,AAEC,3.8,10.5,0.0,2,0
Faltin (CMDA),Faltin,CMDA,3.73,49.11,0.0,9,1
Faltin (STAT),Faltin,STAT,3.58,35.0,0.0,2,0
Farag (CS),Farag,CS,3.55,31.0,1.0,1,2
Farghally (CS),Farghally,CS,3.74,62.74,0.47,19,2
Farhat (MATH),Farhat,MATH,2.51,30.4,4.0,15,0
Farhat (PHYS),Farhat,PHYS,3.41,94.0,1.0,1,0
Farhood (AOE),Farhood,AOE,3.37,15.88,0.62,8,2
Farhood (ECE),Farhood,ECE,3.12,11.0,0.0,1,2
Farhood (ME),Farhood,ME,3.14,5.0,0.0,1,2
Farley (PSYC),Farley,PSYC,3.98,55.0,0.0,1,0
Farmer (EDCO),Farmer,EDCO,3.93,17.0,0.0,3,0
Farmer (MATH),Farmer,MATH,2.57,43.83,8.0,6,0
Farrar (HTM),Farrar,HTM,3.53,13.0,0.0,1,0
Farrington (ENGL),Farrington,ENGL,3.2,17.17,0.42,12,3
Farrington (SOC),Farrington,SOC,3.62,6.67,0.0,3,0
Farrington (WGS),Farrington,WGS,3.29,9.67,0.17,6,2
Farrou (ENGL),Farrou,ENGL,3.42,16.78,0.56,9,0
Farzampour (CEE),Farzampour,CEE,3.21,39.0,1.0,1,0
Faulkner (AFST),Faulkner,AFST,3.2,6.33,0.0,3,1
Faulkner (PSCI),Faulkner,PSCI,3.81,28.57,0.22,23,1
Faulkner (UAP),Faulkner,UAP,3.77,9.0,0.33,3,1
Faunce (PSYC),Faunce,PSYC,3.65,44.69,0.08,13,0
Fausnacht (HNFE),Fausnacht,HNFE,3.74,118.5,0.0,2,0
Fedele (GEOS),Fedele,GEOS,3.23,121.29,1.86,14,0
Fehr (ENGL),Fehr,ENGL,3.56,18.26,0.34,38,4
Fehr (HNFE),Fehr,HNFE,4.0,15.0,0.0,1,0
Feiertag (HTM),Feiertag,HTM,3.19,8.14,0.29,7,0
Feigenbaum (HTM),Feigenbaum,HTM,3.04,41.52,1.0,33,4
Feigenbaum (MGT),Feigenbaum,MGT,2.92,38.62,1.06,16,3
Fenerci Soysal (EDEP),Fenerci Soysal,EDEP,3.54,13.0,0.5,2,0
Feng (CS),Feng,CS,3.09,40.67,4.44,9,2
Feng (ECE),Feng,ECE,3.26,13.0,0.0,2,2
Feng (FIN),Feng,FIN,3.35,7.0,0.0,2,0
Fennell (HD),Fennell,HD,3.47,45.0,0.0,1,0
Ferand (EDCI),Ferand,EDCI,3.89,25.0,0.0,1,0
Ferand (EDCT),Ferand,EDCT,3.91,5.67,0.0,3,0
Ferguson (IS),Ferguson,IS,3.85,15.67,0.0,3,0
Ferguson (PSCI),Ferguson,PSCI,3.61,29.0,0.0,3,0
Fernandes (ENGL),Fernandes,ENGL,3.65,17.73,0.27,11,0
Fernandez (BIT),Fernandez,BIT,3.66,40.5,0.17,6,0
Fernandez-Fraguas (FST),Fernandez-Fraguas,FST,3.13,24.5,0.83,6,0
Ferreira (PSYC),Ferreira,PSYC,4.0,8.0,0.0,1,0
Ferreira (STAT),Ferreira,STAT,3.95,18.0,0.07,15,1
Ferretti (FIW),Ferretti,FIW,3.48,9.75,0.0,4,2
Ferrill (HD),Ferrill,HD,3.96,7.25,0.0,4,0
Ferris (ME),Ferris,ME,3.51,49.83,0.83,6,0
Ferro (ISE),Ferro,ISE,3.66,29.0,1.0,1,0
Fetter (UNIV),Fetter,UNIV,3.35,17.5,0.25,4,0
Feuerbacher (APSC),Feuerbacher,APSC,3.65,23.03,0.0,39,8
Feuerstein (ARCH),Feuerstein,ARCH,3.62,8.57,0.0,14,0
Feuerstein (NR),Feuerstein,NR,3.95,12.0,0.0,1,0
Figg (CHEM),Figg,CHEM,3.15,16.67,0.67,3,1
Fike (CSES),Fike,CSES,3.82,5.0,0.0,1,0
Filbert (AINS),Filbert,AINS,3.18,38.5,0.0,2,0
Filiatreau (ENGL),Filiatreau,ENGL,3.2,16.0,0.0,2,0
Filkoski (FR),Filkoski,FR,3.1,19.75,0.25,4,0
Fillman (MATH),Fillman,MATH,2.46,39.0,1.5,6,0
Filz (CEE),Filz,CEE,3.54,18.67,0.0,3,0
Finch (FR),Finch,FR,2.91,11.67,0.33,3,0
Findley (HIST),Findley,HIST,3.64,65.18,0.18,11,1
Fines (HNFE),Fines,HNFE,3.64,15.33,0.0,3,1
Finkielstein (BIOL),Finkielstein,BIOL,3.96,16.5,1.0,2,0
Finkielstein (NANO),Finkielstein,NANO,3.19,11.0,0.0,5,1
Finley (ART),Finley,ART,3.84,18.78,0.06,18,0
Finney (ART),Finney,ART,3.73,7.0,0.0,1,1
Fischer (ENGL),Fischer,ENGL,3.78,19.0,0.33,3,1
Fisher (AHRM),Fisher,AHRM,3.32,127.11,1.67,9,0
Fisher (CONS),Fisher,CONS,3.38,22.22,0.22,9,0
Fisher (MN),Fisher,MN,3.82,26.5,0.0,2,0
Fitch (HTM),Fitch,HTM,3.6,60.38,0.41,29,3
Fitzgerald (AOE),Fitzgerald,AOE,3.22,37.67,1.0,3,2
Fitzgerald (EDCO),Fitzgerald,EDCO,4.0,16.64,0.0,14,0
Flahive (HIST),Flahive,HIST,3.81,32.71,0.29,7,0
Flahive (IS),Flahive,IS,3.89,24.0,0.0,5,0
Flahive (PSCI),Flahive,PSCI,3.61,13.0,0.0,5,0
Flanagan (HIST),Flanagan,HIST,3.52,31.5,2.0,2,0
Flanagan (MATH),Flanagan,MATH,2.56,26.6,5.8,5,0
Flint (CEE),Flint,CEE,3.33,18.33,0.0,3,0
Flint (MGT),Flint,MGT,3.85,32.67,0.0,3,0
Flintsch (CEE),Flintsch,CEE,3.8,11.67,0.0,9,1
Flood (ART),Flood,ART,3.59,13.0,0.0,3,0
Flora (BIT),Flora,BIT,3.84,85.0,0.2,5,4
Florence (CEE),Florence,CEE,3.17,39.0,0.0,1,0
Flores (MGT),Flores,MGT,3.38,52.33,1.0,3,0
Flores Zaldivar (ENGL),Flores Zaldivar,ENGL,3.56,18.07,0.36,14,0
Flynn (MGT),Flynn,MGT,3.23,42.38,0.12,8,0
Fogelsong (EDCI),Fogelsong,EDCI,4.0,13.77,0.0,13,0
Folkart (FL),Folkart,FL,3.63,7.0,0.0,1,2
Folkart (PSYC),Folkart,PSYC,4.0,8.0,0.0,1,0
Folkart (SPAN),Folkart,SPAN,3.61,14.45,0.18,11,0
Forbish (ENGL),Forbish,ENGL,3.74,19.5,0.0,4,0
Ford (CEE),Ford,CEE,2.98,13.0,0.0,1,1
Ford (EDEL),Ford,EDEL,3.58,12.0,0.0,1,0
Ford (FIW),Ford,FIW,4.0,7.0,0.0,3,0
Foriest (CRIM),Foriest,CRIM,3.94,31.17,0.0,6,2
Foriest (SOC),Foriest,SOC,3.92,25.0,1.33,3,2
Formica (CEE),Formica,CEE,3.32,47.0,0.0,1,0
Foroutan (CEE),Foroutan,CEE,2.86,37.5,0.25,4,1
Foroutan (ESM),Foroutan,ESM,3.84,7.6,0.0,5,0
Fortune (EDCI),Fortune,EDCI,3.99,15.4,0.0,5,3
Foster (EDCI),Foster,EDCI,3.94,10.29,0.0,7,3
Foster (HNFE),Foster,HNFE,3.85,49.0,0.0,9,1
Foster (HTM),Foster,HTM,3.59,41.28,0.83,18,1
Foster (MSE),Foster,MSE,3.72,18.0,0.33,6,0
Foster (MUS),Foster,MUS,3.53,95.0,1.0,1,0
Foster (PSYC),Foster,PSYC,4.0,7.0,0.0,1,0
Foster-Drescher (APSC),Foster-Drescher,APSC,3.64,10.0,0.0,1,1
Foti (PSYC),Foti,PSYC,3.8,19.67,0.0,3,0
Fournier (MGT),Fournier,MGT,3.29,51.8,0.4,5,0
Fowler (AOE),Fowler,AOE,3.16,74.0,4.0,1,0
Fowler (ENGL),Fowler,ENGL,3.55,11.75,0.0,8,0
Fowler (MATH),Fowler,MATH,2.58,30.71,4.57,14,0
Fox (CS),Fox,CS,3.6,47.15,0.08,13,1
Fox (ECON),Fox,ECON,3.12,109.0,3.38,13,0
Fox (NEUR),Fox,NEUR,3.72,13.17,0.0,6,0
Fox (STS),Fox,STS,3.6,25.5,0.25,4,0
Fox (TBMH),Fox,TBMH,3.4,10.0,0.0,2,0
Fraas (MATH),Fraas,MATH,3.42,26.67,0.0,3,0
Francis (MS),Francis,MS,3.6,30.94,0.06,16,0
Francis (PHYS),Francis,PHYS,3.41,94.0,1.0,1,0
Franck (PSYC),Franck,PSYC,4.0,8.0,0.0,1,0
Franck (STAT),Franck,STAT,3.43,21.08,0.33,12,0
Franco (FREC),Franco,FREC,3.68,34.8,0.6,5,2
Franco Duran (CEE),Franco Duran,CEE,3.29,52.0,0.0,1,0
Frank (ENT),Frank,ENT,2.99,10.0,0.0,1,0
Franklin (CEM),Franklin,CEM,3.34,33.6,0.4,5,0
Franklin (ENGL),Franklin,ENGL,3.6,17.88,0.12,8,0
Franklin (ISE),Franklin,ISE,3.52,37.5,0.5,2,0
Frankowski (ARCH),Frankowski,ARCH,3.98,14.0,0.0,1,0
Franusich (ART),Franusich,ART,3.59,21.0,0.0,1,0
Fraser (FIW),Fraser,FIW,4.0,10.5,0.0,2,0
Fraticelli (BIT),Fraticelli,BIT,3.43,69.18,2.12,33,4
Fravel (ISE),Fravel,ISE,3.57,50.0,0.33,3,0
Frazier (SBIO),Frazier,SBIO,3.36,7.14,0.0,7,1
Fredericksen (BIOL),Fredericksen,BIOL,3.14,224.5,2.17,6,0
Fricker (UH),Fricker,UH,3.96,29.0,0.0,2,0
Fried (HIST),Fried,HIST,3.5,29.0,1.0,1,0
Fried (MGT),Fried,MGT,3.13,100.5,1.5,2,0
Fried (SOC),Fried,SOC,3.92,12.0,0.0,1,0
Fried (STS),Fried,STS,3.12,6.0,0.0,1,0
Friedel (AAEC),Friedel,AAEC,3.0,74.55,0.82,11,2
Friedel (ALCE),Friedel,ALCE,3.88,14.67,0.0,6,2
Friedel (GEOG),Friedel,GEOG,2.99,30.0,1.0,1,0
Friedel (LDRS),Friedel,LDRS,3.89,38.2,0.07,15,1
Friedlander (RTM),Friedlander,RTM,4.0,46.0,0.0,2,0
Friedlander (TBMH),Friedlander,TBMH,3.22,18.0,0.0,2,0
Frimpong (FIW),Frimpong,FIW,3.45,23.14,0.29,7,2
Frisard (HNFE),Frisard,HNFE,3.9,13.86,0.0,7,0
Frost (ENGL),Frost,ENGL,3.58,18.47,0.32,19,0
Frost (GIA),Frost,GIA,3.54,10.0,0.0,1,0
Frost (IS),Frost,IS,3.29,5.5,0.5,2,2
Frost (PSCI),Frost,PSCI,3.03,19.0,0.33,3,2
Fu (AOE),Fu,AOE,3.59,54.25,1.25,4,4
Fu (NEUR),Fu,NEUR,3.8,38.09,0.0,32,4
Fukao (CSES),Fukao,CSES,3.12,22.0,0.0,2,0
Fullen (EDCO),Fullen,EDCO,3.97,14.75,0.0,12,1
Fullen (GRAD),Fullen,GRAD,4.0,41.0,0.0,1,0
Fuller (ME),Fuller,ME,3.9,14.0,0.0,3,2
Fuller (PHIL),Fuller,PHIL,3.58,33.39,0.28,18,3
Fuoco (ENGL),Fuoco,ENGL,3.78,17.33,0.0,3,1
Furrow (HIST),Furrow,HIST,3.35,42.0,1.0,1,0
Furukawa (ME),Furukawa,ME,3.99,8.5,0.0,2,0
G.C. (BSE),G.C.,BSE,3.59,22.0,0.0,2,1
G.C. (UAP),G.C.,UAP,3.85,6.0,0.0,1,0
Gabbard (CS),Gabbard,CS,3.97,14.67,0.0,3,0
Gabbard (ISE),Gabbard,ISE,3.93,11.86,0.0,14,1
Gabler (BMES),Gabler,BMES,3.59,16.33,0.33,3,0
Gabriele (HIST),Gabriele,HIST,2.59,11.0,0.0,1,0
Gabriele (IS),Gabriele,IS,3.4,28.0,0.0,1,0
Gabriele (RLCL),Gabriele,RLCL,3.39,42.2,0.8,5,1
Gaines (ENGL),Gaines,ENGL,3.68,18.28,0.22,18,0
Gaitan Montejo (MATH),Gaitan Montejo,MATH,2.34,24.5,10.0,2,0
Galappaththi (GEOG),Galappaththi,GEOG,3.93,14.0,0.0,2,2
Galappaththi (LDRS),Galappaththi,LDRS,4.0,5.0,0.0,1,0
Galappaththi (NR),Galappaththi,NR,4.0,5.0,0.0,1,1
Galbraith (CSES),Galbraith,CSES,3.71,15.27,0.13,15,2
Galbraith (ENSC),Galbraith,ENSC,3.66,18.29,0.0,7,0
Galer (ACIS),Galer,ACIS,3.11,39.05,1.4,20,2
Galford (RED),Galford,RED,3.57,20.06,0.0,17,2
Galinaitis (MATH),Galinaitis,MATH,2.6,45.25,2.62,8,0
Galitz (ESM),Galitz,ESM,3.1,62.71,2.25,24,2
Galitz (MSE),Galitz,MSE,3.23,9.29,0.0,7,2
Gallagan (MS),Gallagan,MS,3.8,27.62,0.12,16,0
Gallagher (CEE),Gallagher,CEE,3.4,38.45,1.18,11,2
Gallagher (GEOG),Gallagher,GEOG,2.99,30.0,1.0,1,0
Gallagher (HIST),Gallagher,HIST,3.5,37.0,0.0,2,0
Galligan (FIW),Galligan,FIW,2.39,52.0,3.0,1,0
Galloway (ARCH),Galloway,ARCH,3.82,25.0,0.05,44,4
Gamble (MATH),Gamble,MATH,1.96,23.75,6.25,4,0
Gamble (PHYS),Gamble,PHYS,3.41,94.0,1.0,1,0
Gamieldien (ENGE),Gamieldien,ENGE,3.75,14.67,0.0,3,0
Gammons (TA),Gammons,TA,3.71,13.8,0.2,5,2
Gandour (CHEM),Gandour,CHEM,2.73,51.4,3.0,5,0
Ganguly (ENGL),Ganguly,ENGL,3.65,20.0,0.0,1,0
Gannon (FREC),Gannon,FREC,3.52,26.19,0.28,32,4
Gannon (GEOG),Gannon,GEOG,3.6,75.71,0.29,7,1
Gannon (WATR),Gannon,WATR,3.33,26.0,0.0,1,2
Gao (BC),Gao,BC,3.24,21.3,0.3,10,1
Gao (CEM),Gao,CEM,3.67,17.4,0.1,10,2
Gao (CNST),Gao,CNST,4.0,6.0,0.0,1,1
Gao (CS),Gao,CS,3.79,59.67,0.33,3,1
Gao (STAT),Gao,STAT,3.68,41.0,1.0,1,0
Garcia Hilares (MATH),Garcia Hilares,MATH,2.94,12.0,8.0,2,0
Garcia Meza (PSYC),Garcia Meza,PSYC,3.94,33.6,0.0,5,0
Garcia Santiago (ARCH),Garcia Santiago,ARCH,3.97,24.5,0.0,4,0
Garcia Taborda (MUS),Garcia Taborda,MUS,3.74,46.57,0.29,7,0
Gardezi (SOC),Gardezi,SOC,3.37,18.33,0.33,3,2
Gardezi (SPIA),Gardezi,SPIA,3.86,6.0,0.0,2,0
Gardezi (STAT),Gardezi,STAT,3.66,9.0,0.0,2,0
Gardner (ENGL),Gardner,ENGL,3.57,18.88,0.65,51,4
Gardner (HD),Gardner,HD,3.72,31.5,0.31,16,1
Garner (ACIS),Garner,ACIS,3.24,20.18,0.52,40,5
Garretson (ENGL),Garretson,ENGL,3.67,17.6,0.2,5,0
Garrison (EDCI),Garrison,EDCI,4.0,12.83,0.0,6,0
Garrison (MN),Garrison,MN,3.63,26.17,0.0,6,0
Gartner (ARCH),Gartner,ARCH,3.69,19.47,0.0,17,2
Garvin (CEE),Garvin,CEE,3.77,34.19,0.0,16,1
Garvoille (ENGL),Garvoille,ENGL,3.65,17.17,0.0,6,0
Gaskill (AHRM),Gaskill,AHRM,3.9,41.0,0.0,1,0
Gaskill (FMD),Gaskill,FMD,3.17,32.0,0.67,3,0
Gates (MUS),Gates,MUS,4.0,8.0,0.0,1,0
Gates (PAPA),Gates,PAPA,3.85,9.67,0.0,3,0
Gatzke (ACIS),Gatzke,ACIS,3.08,31.25,0.75,20,2
Gautam (CS),Gautam,CS,3.07,23.0,1.0,1,0
Gaylord (ACIS),Gaylord,ACIS,4.0,8.0,0.0,1,0
Gaylord (BIT),Gaylord,BIT,3.87,59.0,0.0,1,0
Gaylord (CMDA),Gaylord,CMDA,3.87,37.0,0.0,1,0
Gayzik (BMES),Gayzik,BMES,3.95,6.0,0.0,1,2
Ge (ECON),Ge,ECON,3.38,17.57,0.0,7,0
Ge (LAR),Ge,LAR,3.4,14.0,0.0,1,0
Gebremariam (ECON),Gebremariam,ECON,3.16,99.61,2.77,31,3
Gebresselassie (SPIA),Gebresselassie,SPIA,3.58,27.0,0.0,1,0
Geither (STAT),Geither,STAT,3.48,37.0,1.0,1,0
Geller (CHEM),Geller,CHEM,3.13,31.83,0.68,53,5
Geller (PSYC),Geller,PSYC,3.03,296.86,8.24,21,0
Geng (BIOL),Geng,BIOL,3.42,139.0,1.5,2,0
Geng (HNFE),Geng,HNFE,4.0,11.0,0.0,2,0
Geng (PSYC),Geng,PSYC,3.94,19.0,0.0,1,0
Gentry (CHEM),Gentry,CHEM,3.54,14.0,0.0,1,5
Geraghty (ISE),Geraghty,ISE,4.0,10.5,0.0,6,2
Gerdes (ECE),Gerdes,ECE,2.89,53.43,5.14,7,1
Gerdes (ENGL),Gerdes,ENGL,3.61,15.12,0.25,8,2
Gerrard (ALS),Gerrard,ALS,4.0,5.0,0.0,1,0
Gerrard (APSC),Gerrard,APSC,3.01,23.94,0.22,18,2
Gerrard (AT),Gerrard,AT,2.67,12.0,0.0,1,0
Gershberg (ENGL),Gershberg,ENGL,3.63,17.33,0.0,3,1
Gerus (SOC),Gerus,SOC,3.45,23.5,0.0,2,0
Ghaffarzadegan (ENGR),Ghaffarzadegan,ENGR,3.79,9.0,0.0,3,0
Ghaffarzadegan (ISE),Ghaffarzadegan,ISE,3.59,42.33,0.0,9,1
Ghandforoush (BIT),Ghandforoush,BIT,3.41,35.1,0.0,10,0
Ghassemi (ECE),Ghassemi,ECE,3.51,32.14,0.29,7,0
Ghorai (ME),Ghorai,ME,2.63,39.33,0.67,3,0
Gibbons (ARCH),Gibbons,ARCH,3.73,36.2,0.0,5,2
Gibbs (ENGL),Gibbs,ENGL,3.61,18.62,0.29,34,2
Gibbs (PPE),Gibbs,PPE,2.75,12.0,0.0,1,1
Gibbs (PSCI),Gibbs,PSCI,3.08,24.5,1.0,2,0
Gibson (CHEM),Gibson,CHEM,3.03,14.0,0.0,1,0
Gignoux (IS),Gignoux,IS,3.55,16.5,0.0,2,1
Gignoux (PSCI),Gignoux,PSCI,3.07,14.0,0.0,2,1
Gilbert (ALS),Gilbert,ALS,3.07,21.0,0.95,21,0
Gilbert (AOE),Gilbert,AOE,3.26,42.18,1.29,17,0
Gilbert (APSC),Gilbert,APSC,3.86,13.0,0.0,3,1
Gilbert (ENGE),Gilbert,ENGE,3.98,35.0,0.0,1,1
Gilbert (ENGL),Gilbert,ENGL,3.33,18.1,0.5,20,4
Gilbert (NEUR),Gilbert,NEUR,3.22,96.0,1.0,3,1
Gildersleeve (MATH),Gildersleeve,MATH,2.67,39.36,2.22,36,0
Gildersleeve (PHYS),Gildersleeve,PHYS,3.41,94.0,1.0,1,0
Giles (ECE),Giles,ECE,3.72,53.06,0.39,18,2
Giles (SOC),Giles,SOC,3.59,47.0,0.0,1,0
Gill (ASPT),Gill,ASPT,3.91,8.0,0.0,1,0
Gill (EDEL),Gill,EDEL,3.84,16.0,0.0,1,0
Gill (GEOS),Gill,GEOS,3.7,14.0,0.08,12,0
Gill (IS),Gill,IS,3.34,20.88,0.38,8,2
Gill (PSCI),Gill,PSCI,3.52,9.5,0.33,6,2
Gillaspy (BCHM),Gillaspy,BCHM,4.0,5.0,0.0,1,0
Gilliam (ALCE),Gilliam,ALCE,3.85,14.0,0.0,4,0
Gillian (BMSP),Gillian,BMSP,3.03,68.95,3.95,74,3
Gillian (HNFE),Gillian,HNFE,4.0,14.33,0.0,3,0
Gilliland (ENGR),Gilliland,ENGR,3.42,61.0,2.0,1,0
Gilliland (MINE),Gilliland,MINE,3.7,22.83,0.0,6,0
Giovanni (ENGL),Giovanni,ENGL,3.96,19.5,0.0,8,0
Gipe (ARCH),Gipe,ARCH,3.65,32.8,0.6,10,7
Gipe (IDS),Gipe,IDS,4.0,7.0,0.0,1,0
Girmes-Grieco (HNFE),Girmes-Grieco,HNFE,3.86,35.02,0.08,51,6
Gitre (HIST),Gitre,HIST,3.54,22.6,0.25,20,2
Gladfelter (PSYC),Gladfelter,PSYC,3.37,51.5,0.25,4,0
Glasgow (PSYC),Glasgow,PSYC,3.61,51.5,0.0,2,0
Glass (EDHE),Glass,EDHE,3.51,10.5,0.0,2,0
Glasson (EDCI),Glasson,EDCI,3.97,11.67,0.0,6,0
Glasson (PHIL),Glasson,PHIL,3.53,22.0,0.0,3,0
Glasson (PSCI),Glasson,PSCI,3.29,32.75,0.5,4,1
Glasson-Darling (ENGL),Glasson-Darling,ENGL,3.61,18.33,0.0,3,0
Glazebrook (MUS),Glazebrook,MUS,3.83,141.12,0.5,8,0
Glazebrook (PHS),Glazebrook,PHS,4.0,11.0,0.0,1,0
Glazebrook (PHYS),Glazebrook,PHYS,3.41,94.0,1.0,1,0
Glenn (ART),Glenn,ART,3.6,15.0,0.0,2,2
Glenn (EDEL),Glenn,EDEL,3.84,11.5,0.0,6,0
Glick (PAPA),Glick,PAPA,3.8,7.4,0.0,5,0
Goatley (CSES),Goatley,CSES,3.16,9.75,0.25,4,0
Goblirsch (TA),Goblirsch,TA,3.82,18.6,0.07,15,0
Godfrey (ISE),Godfrey,ISE,3.97,9.67,0.0,12,4
Godrej (CEE),Godrej,CEE,3.48,6.0,0.0,2,0
Goedert (PSCI),Goedert,PSCI,3.36,56.93,1.2,15,2
Goenka (MKTG),Goenka,MKTG,3.66,38.8,0.1,10,0
Goetz (UNIV),Goetz,UNIV,3.51,31.0,0.4,5,0
Goff (ENGE),Goff,ENGE,3.6,24.0,0.0,3,0
Goforth (EDIT),Goforth,EDIT,4.0,5.67,0.0,6,1
Goforth (HNFE),Goforth,HNFE,3.85,64.89,0.0,18,1
Gohlke (APS),Gohlke,APS,3.74,5.0,0.0,1,0
Gohlke (PHS),Gohlke,PHS,3.76,20.5,0.0,4,0
Gohlke (SOC),Gohlke,SOC,3.48,5.0,0.0,1,0
Goldbeck DeBose (GRAD),Goldbeck DeBose,GRAD,3.86,7.0,0.0,1,1
Goldberg (BIT),Goldberg,BIT,3.65,130.0,0.5,2,0
Goldberg (FIW),Goldberg,FIW,2.4,70.0,0.0,1,0
Goldensher (LAHS),Goldensher,LAHS,3.17,18.5,0.5,2,0
Goldensher (STS),Goldensher,STS,3.69,27.5,0.0,2,0
Goldensher (WGS),Goldensher,WGS,3.88,9.0,0.0,2,1
Goldschneider (ENGE),Goldschneider,ENGE,3.6,71.25,0.0,4,0
Goldsmith (CONS),Goldsmith,CONS,3.44,119.75,0.25,4,0
Goldsmith (ENGE),Goldsmith,ENGE,3.55,48.44,0.11,9,0
Goldsmith (RED),Goldsmith,RED,3.72,25.67,0.0,3,0
Goldstein (BMES),Goldstein,BMES,2.89,7.0,0.0,1,0
Goldstein (CHE),Goldstein,CHE,2.89,53.1,0.4,10,1
Goldstein (NR),Goldstein,NR,3.8,19.0,0.0,2,0
Gollapudi (MSE),Gollapudi,MSE,3.91,7.0,0.0,1,0
Gonsalves (ENGL),Gonsalves,ENGL,3.46,17.4,0.4,5,0
Gonzales (ME),Gonzales,ME,2.95,38.67,1.0,3,2
Gonzalez (APSC),Gonzalez,APSC,3.92,15.0,0.0,1,0
Gonzalez Maldonado (SPAN),Gonzalez Maldonado,SPAN,2.9,15.5,0.25,4,0
Good (HNFE),Good,HNFE,3.77,55.74,0.17,23,1
Goodberry (MATH),Goodberry,MATH,2.78,35.75,3.5,8,0
Goodrum (RLCL),Goodrum,RLCL,3.22,15.22,0.44,9,1
Goodrum (STS),Goodrum,STS,3.4,12.19,0.19,27,3
Goodwin (COMM),Goodwin,COMM,3.87,82.0,0.0,3,0
Gordon (BIT),Gordon,BIT,3.43,49.12,0.12,8,2
Gosink (HIST),Gosink,HIST,3.61,32.0,0.0,1,0
Gould (BC),Gould,BC,3.35,22.0,0.0,1,0
Gourdie (TBMH),Gourdie,TBMH,3.71,7.0,0.0,1,0
Gracanin (CS),Gracanin,CS,3.5,38.75,2.75,12,2
Gracanin (ISE),Gracanin,ISE,4.0,6.0,0.0,1,0
Grafsky (HD),Grafsky,HD,3.84,40.87,0.13,15,1
Gragg (ESM),Gragg,ESM,2.5,49.88,3.16,32,0
Graham (ENGL),Graham,ENGL,3.65,11.5,0.25,8,0
Gramacy (CMDA),Gramacy,CMDA,3.15,38.4,0.8,5,1
Gramacy (CS),Gramacy,CS,3.15,7.0,0.0,2,0
Gramacy (STAT),Gramacy,STAT,3.78,19.43,0.29,7,0
Granata (ALS),Granata,ALS,3.84,44.2,0.0,5,0
Grange (HNFE),Grange,HNFE,3.73,24.32,0.36,22,2
Grant (ARCH),Grant,ARCH,3.64,34.84,0.05,19,0
Grant (CEE),Grant,CEE,4.0,9.0,0.0,1,1
Grant (MKTG),Grant,MKTG,4.0,34.0,0.0,1,0
Gratto (EDEL),Gratto,EDEL,3.8,11.58,0.0,12,0
Graves (AFST),Graves,AFST,4.0,7.0,0.0,1,0
Graves (SOC),Graves,SOC,3.06,88.5,4.0,2,0
Gray (ACIS),Gray,ACIS,3.45,10.75,0.0,4,0
Gray (BIOL),Gray,BIOL,3.23,57.67,0.33,3,0
Gray (ENGE),Gray,ENGE,3.78,52.9,0.13,30,0
Gray (ENGL),Gray,ENGL,3.7,18.06,0.62,16,0
Gray (IDS),Gray,IDS,3.71,7.0,0.0,1,0
Gray (ISC),Gray,ISC,3.71,54.0,0.0,1,0
Gray (MGT),Gray,MGT,3.74,10.0,0.0,1,0
Gray (PHYS),Gray,PHYS,2.86,47.43,0.43,7,0
Greaud (ALCE),Greaud,ALCE,3.76,33.5,0.0,2,2
Green (ACIS),Green,ACIS,3.6,13.12,0.0,25,0
Green (ARCH),Green,ARCH,3.86,15.93,0.21,14,3
Green (CEE),Green,CEE,3.53,13.5,0.5,14,1
Green (FREC),Green,FREC,3.16,25.56,0.11,9,3
Green (IDS),Green,IDS,3.95,87.56,0.0,25,0
Greene (CINE),Greene,CINE,3.21,142.33,0.33,3,1
Greene (ENGL),Greene,ENGL,3.52,18.14,0.24,29,6
Greene-Havas (ENGE),Greene-Havas,ENGE,2.48,16.0,1.0,1,1
Greening (CS),Greening,CS,3.7,22.8,0.0,5,1
Greenough (IDS),Greenough,IDS,3.64,20.0,0.0,1,0
Gregus (NEUR),Gregus,NEUR,3.96,21.2,0.2,5,1
Greiner (APSC),Greiner,APSC,3.76,13.6,0.0,5,1
Grene (GBCB),Grene,GBCB,3.28,5.0,0.0,1,0
Gresh (MKTG),Gresh,MKTG,3.49,70.5,0.2,10,1
