instructor_id,last_name,dept,gpa,enrollment,withdraw,past_classes,new_classes
Alexander (AOE),Alexander,AOE,3.17,10.69,0.04,26,3
Alexander (EDEL),Alexander,EDEL,3.86,12.05,0.0,19,2
Alexander (FIW),Alexander,FIW,3.95,13.0,0.0,1,0
Alexander (HIST),Alexander,HIST,3.08,55.71,2.0,17,1
Alexander (IS),Alexander,IS,3.83,10.5,0.0,2,0
Alexander (PSCI),Alexander,PSCI,3.5,10.0,0.0,2,1
Alia (MGT),Alia,MGT,3.91,86.67,0.0,6,2
Aljafari (BIT),Aljafari,BIT,3.27,37.0,0.0,3,3
Allegretta (COMM),Allegretta,COMM,2.81,12.0,0.0,1,0
Allegretta (JMC),Allegretta,JMC,3.07,19.0,1.0,1,0
Allen (BCHM),Allen,BCHM,3.09,34.33,3.33,3,1
Allen (BMVS),Allen,BMVS,3.98,14.4,0.0,10,0
Allen (CSES),Allen,CSES,3.28,6.0,0.0,1,1
Allen (EDCI),Allen,EDCI,3.94,21.5,0.0,2,1
Allen (GEOG),Allen,GEOG,2.94,11.0,1.0,1,1
Allen (GEOS),Allen,GEOS,3.22,29.0,0.0,1,2
Allen (HD),Allen,HD,3.75,6.0,0.0,1,0
Allen (STS),Allen,STS,3.83,5.5,0.0,2,0
Allen (TBMH),Allen,TBMH,4.0,10.25,0.0,4,1
Alley (ME),Alley,ME,3.56,314.0,1.0,1,0
Allnutt (ENGL),Allnutt,ENGL,3.38,17.0,0.46,41,4
Almond (ACIS),Almond,ACIS,3.0,39.33,1.72,123,9
Alphin (HIST),Alphin,HIST,3.7,42.0,0.0,1,0
Alphin (IS),Alphin,IS,3.56,16.5,0.0,2,0
Alphin (PHIL),Alphin,PHIL,3.96,7.0,0.0,1,0
Alphin (PSCI),Alphin,PSCI,3.72,56.58,0.42,19,1
Alphin (UAP),Alphin,UAP,3.9,32.0,0.0,1,0
Alquier (FR),Alquier,FR,3.3,16.0,0.5,2,0
Alsafwan (CS),Alsafwan,CS,3.92,85.33,0.33,3,0
Alsardi (CEE),Alsardi,CEE,3.01,36.0,0.0,1,0
Alsharawy (ECON),Alsharawy,ECON,3.55,13.0,0.0,1,0
Alt (STAT),Alt,STAT,3.88,6.0,0.0,1,0
Alvarez (TA),Alvarez,TA,3.55,14.0,0.2,5,0
